1 Anhui
>>偃师市 Yanshi
>>伊川县 Yichuan
>>宜阳县 Yiyang

>郑州市 Zhengzhou
>>登封市 Dengfeng
>>Gong Gong
>>Mi Mi
>>荥阳市 Xingyang
>>新郑市 Xinzheng
>>Zhengzhou Zhengzhou
>>中牟县 Zhongmou


13 Hubei
>十堰市 Shiyan
>>房县 Fang
>>Junxian Junxian
>>Shiyan Shiyan
>>郧县 Yun
>>郧西县 Yunxi
>>竹山县 Zhushan
>>竹溪县 Zhuxi

>咸宁市 Xianning
>>崇阳县 Chongyang
>>嘉鱼县 Jiayu
>>Puqi Puqi
>>通城县 Tongcheng
>>通山县 Tongshan
>>Xianning Xianning

>潜江市 Qianjiang
>>潜江市 Qianjiang

>鄂州市 Ezhou
>>鄂城区 Echeng Qū
>>鄂城市 Echeng Shì

>武汉市 Wuhan
>>汉阳区 Hanyang
>>黄陂区 Huangpi
>>武昌区 Wuchang
>>Wuhan Wuhan
>>新洲区 Xinzhou

>荆门市 Jingmen
>>Jingmen Jingmen
>>京山县 Jingshan
>>沙洋县 Shayang
>>钟祥市 Zhongxiang

>天门市 Tianmen
>>天门市 Tianmen

>襄樊市 Xiangfan
>>保康县 Baokang
>>谷城县 Gucheng
>>老河口市 Laohekou
>>南漳县 Nanzhang
>>Xiangfan Xiangfan
>>襄阳区 Xiangyang
>>宜城市 Yicheng
>>枣阳市 Zaoyang

>宜昌市 Yichang
>>长阳土家族自治县 Changyang Tujia
>>当阳市 Dangyang
>>五峰土家族自治县 Wufeng Tujia
>>兴山县 Xingshan
>>宜昌市 Yichang
>>Yidu Yidu
>>夷陵区 Yiling
>>远安县 Yuan'an
>>枝江市 Zhijiang
>>秭归县 Zigui

>神农架林区 Shennongjia
>>Shennongjia Shennongjia

>仙桃市 Xiantao
>>Mianyang Mianyang

>孝感市 Xiaogan
>>安陆市 Anlu
>>大悟县 Dawu
>>汉川市 Hanchuan
>>孝昌县 Xiaochang
>>Xiaogan Xiaogan
>>应城区 Yingcheng
>>云梦县 Yunmeng

>恩施土家族苗族自治州 Enshi Tujia and Miao
>>巴东县 Badong
>>恩施土家族苗族自治州 Enshi Tujia and Miao
>>鹤峰县 Hefeng
>>建始县 Jianshi
>>来凤县 Laifeng
>>利川市 Lichuan
>>咸丰县 Xianfeng
>>Xuan En Xuan En

>随州市 Suizhou Shi
>>Suizhou Suizhou
>>英山县 Yingshan

>黄冈市 Huanggang
>>Guangji Guangji
>>红安县 Hong'an
>>Huanggang Huanggang
>>黄梅县 Huangmei
>>罗田县 Luotian
>>麻城市 Macheng
>>蕲春县 Qichun
>>浠水县 Xishui
>>英山县 Yingshan

>荆州市 Jingzhou
>>公安县 Gong'an
>>洪湖市 Honghu
>>江陵县 Jiangling
>>监利县 Jianli
>>荆州市 Jingzhou
>>沙市区 Shashi
>>Shishou Shishou
>>松滋市 Songzi

>黄石市 Huangshi
>>大冶市 Daye
>>Huangshi Huangshi
>>阳新县 Yangxin


14 Hunan
>湘西土家族苗族自治州 Xiangxi Tujia and Miao
>>保靖县|保靖縣 Baojing
>>凤凰县|鳳凰縣 Fenghuang
>>古丈县|古丈縣 Guzhang
>>花垣县|花垣縣 Huayuan
>>吉首市|吉首市 Jishou
>>龙山县|龍山縣 Longshan
>>泸溪县|瀘溪縣 Luxi
>>永顺县|永順縣 Yongshun

>邵陽市 Shaoyang
>>城步苗族自治县|城步苗族自治縣 Chengbu Miao
>>大祥区|大祥區 Daxiang
>>洞口县|洞口縣 Dongkou
>>隆回县|隆回縣 Longhui
>>邵东县|邵東縣 Shaodong
>>邵阳市 Shaoyang Shì
>>邵阳县 Shaoyang Xiàn
>>绥宁县|綏寧縣 Suining
>>武冈市|武岡市 Wugang
>>新宁县|新寧縣 Xinning
>>新邵县|新邵縣 Xinshao

>岳陽市 Yueyang
>>华容县|華容縣 Huarong
>>临湘市|臨湘市 Linxiang
>>汨罗市|汨羅市 Miluo
>>平江县|平江縣 Pingjiang
>>湘阴县|湘陰縣 Xiangyin
>>岳阳区 Yueyang Qū
>>岳阳县 Yueyang Xiàn

>永州市 Yongzhou
>>道县|道縣 Dao
>>江华瑶族自治县|江華瑤族自治縣 Jianghua Yao
>>江永县|江永縣 Jiangyong
>>蓝山县|藍山縣 Lanshan
>>冷水滩区 Lengshuitan
>>零陵区|零陵區 Lingling
>>宁远县|寧遠縣 Ningyuan
>>祁阳县|祁陽縣 Qiyang
>>双牌县|雙牌縣 Shuangpai
>>新田县|新田縣 Xintian

>長沙市 Changsha
>>长沙区 Changsha Shì
>>长沙县 Changsha Xiàn
>>浏阳市|瀏陽市 Liuyang
>>宁乡县|寧鄉縣 Ningxiang
>>望城县|望城縣 Wangcheng

>衡陽市 Hengyang
>>常宁市|常寧市 Changning
>>衡东县|衡東縣 Hengdong
>>衡南县|衡南縣 Hengnan
>>衡山县|衡山縣 Hengshan
>>衡阳市 Hengyang Shì
>>衡阳县 Hengyang Xiàn
>>Laiyang Laiyang
>>祁东县|祁東縣 Qidong

>張家界市 Zhangjiajie
>>慈利县|慈利縣 Cili
>>Dayong Dayong
>>桑植县|桑植縣 Sangzhi

>郴州市 Chenzhou
>>安仁县|安仁縣 Anren
>>Chen Chen
>>郴州市 Chenzhou
>>桂东县|桂東縣 Guidong
>>桂阳县|桂陽縣 Guiyang
>>嘉禾县|嘉禾縣 Jiahe
>>临武县|臨武縣 Linwu
>>汝城县|汝城縣 Rucheng
>>宜章县|宜章縣 Yizhang
>>永兴县|永興縣 Yongxing
>>资兴市|資興市 Zixing

>湘潭市 Xiangtan
>>韶山市 Shaoshan
>>湘潭市 Xiangtan Shì
>>湘潭县 Xiangtan Xiàn
>>湘乡市|湘鄉市 Xiangxiang

>常德市 Changde
>>安乡县|安鄉縣 Anxiang
>>鼎城区 Dingcheng
>>汉寿县|漢壽縣 Hanshou
>>津市市|津市市 Jinshi
>>临澧县|臨澧縣 Linli
>>Li Li
>>石门县|石門縣 Shimen
>>桃源县|桃源縣 Taoyuan
>>武陵区 Wuling

>婁底市 Loudi
>>Lengshuijang Lengshuijang
>>涟源市|漣源市 Lianyuan
>>Loudi Loudi
>>双峰县|雙峰縣 Shuangfeng
>>新化县|新化縣 Xinhua

>株洲市 Zhuzhou
>>茶陵县|茶陵縣 Chaling
>>醴陵市|醴陵市 Liling
>>Ling Ling
>>攸县|攸縣 Youxian
>>株洲市 Zhuzhou Qū
>>株洲县 Zhuzhou Xiàn

>懷化市 Huaihua
>>辰溪县|辰溪縣 Chenxi
>>洪江区 Hóngjiāng Qū
>>洪江市 Hóngjiāng Shì
>>Huaihua Huaihua
>>会同县|會同縣 Huitong
>>Jing Jing
>>麻阳苗族自治县 Mayang Miao
>>通道侗族自治县|通道侗族自治縣 Tongdao Dong
>>新晃侗族自治县 Xinhuang Dong Dongzu
>>溆浦县|漵浦縣 Xupu
>>沅陵县|沅陵縣 Yuanling
>>芷江侗族自治县|芷江侗族自治縣 Zhijiang Dong Dongzu

>益陽市 Yiyang
>>安化县|安化縣 Anhua
>>南县|南縣 Nan
>>桃江县|桃江縣 Taojiang
>>益阳市 Yiyang Shì
>>益阳县 Yiyang Xiàn
>>沅江市|沅江市 Yuanjiang


15 Jiangsu
>盐城市 Yancheng
>>滨海县 Binhai
>>大丰市 Dafeng
>>东台市 Dongtai
>>阜宁县 Funing
>>建湖县 Jianhu
>>射阳县 Sheyang
>>响水县 Xiangshui
>>盐都区 Yandu
>>Yiancheng Yiancheng

>连云港市 Lianyungang
>>东海县 Donghai
>>赣榆县 Ganyu
>>灌南县 Guannan
>>灌云县 Guanyun
>>Lianyungang Lianyungang

>镇江市 Zhenjiang
>>丹徒区 Dantu
>>丹阳市 Danyang
>>句容市 Jurong
>>扬中市 Yangzhong
>>Zhenjiang Zhenjiang

>南京市 Nanjing
>>高淳县 Gaochun
>>江宁区 Jiangning
>>Jiangpu Jiangpu
>>溧水县 Lishui
>>六合区 Luhe
>>Nanjing Nanjing

>泰州市 Taizhou
>>姜堰市 Jiangyan
>>靖江市 Jingjiang
>>泰兴市 Taixing
>>泰州市 Taizhou
>>兴化市 Xinghua

>苏州市 Suzhou
>>常熟市 Changshu
>>昆山市 Kunshan
>>Shazhou Shazhou
>>Suzhou Suzhou
>>太仓市 Taicang
>>吴江市 Wujiang
>>Wuxian Wuxian

>淮安市 Huai'an
>>洪泽县 Hongze
>>Huaian Huaian
>>淮阴区 Huaiyin
>>金湖县 Jinhu
>>涟水县 Lianshui
>>Qingjiang Qingjiang
>>盱眙县 Xuyi

>扬州市 Yangzhou
>>宝应县 Baoying
>>高邮市 Gaoyou
>>邗江区 Hanjiang
>>江都市 Jiangdu
>>Yangzhou Yangzhou
>>仪征市 Yizheng

>无锡市 Wuxi
>>江阴市 Jiangyin
>>无锡新区 Wuxi New District
>>无锡市 Wuxi
>>锡山区 Xishan
>>宜兴市 Yixing

>徐州市 Xuzhou
>>丰县 Feng
>>沛县 Pei
>>邳州市 Pizhou
>>睢宁县 Suining
>>铜山县 Tongshan
>>新沂市 Xinyi
>>Xuzhou Xuzhou

>宿迁市 Suqian
>>沭阳县 Shuyang
>>泗洪县 Sihong
>>泗阳县 Siyang
>>宿迁市 Suqian
>>宿豫区 Suyu

>南通市 Nantong
>>海安县 Hai'an
>>海门市 Haimen
>>南通市 Nantong
>>启东市 Qidong
>>如东县 Rudong
>>如皋市 Rugao
>>通州市 Tongzhou

>常州市 Changzhou
>>Changzhou Changzhou
>>金坛市 Jintan
>>溧阳市 Liyang
>>武进区 Wujin


16 Jiangxi
>鹰潭市 Yingtan
>>贵溪市 Guixi
>>Yingtan Yingtan
>>余江县 Yujiang

>九江市 Jiujiang
>>德安县 De'an
>>都昌县 Duchang
>>湖口县 Hukou
>>九江区 Jiujiang Qū
>>九江县 Jiujiang Xiàn
>>彭泽县 Pengze
>>瑞昌市 Ruichang
>>武宁县 Wuning
>>星子县 Xingzi
>>修水县 Xiushui
>>永修县 Yongxiu

>宜春市 Yichun
>>丰城市 Fengcheng
>>奉新县 Fengxin
>>高安市 Gao'an
>>靖安县 Jing'an
>>上高县 Shanggao
>>铜鼓县 Tonggu
>>万载县 Wanzai
>>Yichun Yichun
>>宜丰县 Yifeng
>>樟树市 Zhangshu

>萍乡市 Pingxiang
>>莲花县 Lianhua
>>Pingxiang Pingxiang

>吉安市 Ji'an
>>安福县 Anfu
>>吉安县 Ji'an
>>Ji An Ji An
>>井冈山市 Jinggangshan
>>吉水县 Jishui
>>Ninggang Ninggang
>>遂川县 Suichuan
>>太和县 Taihe
>>万安县 Wan’an
>>峡江县 Xiajiang
>>新干县 Xingan
>>永丰县 Yongfeng
>>永新县 Yongxin

>上饶市 Shangrao
>>Boyang Boyang
>>德兴市 Dexing
>>广丰县 Guangfeng
>>横峰县 Hengfeng
>>Qianshan Qianshan
>>上饶市 Shangrao Shì
>>上饶县 Shangrao Xiàn
>>万年县 Wannian
>>婺源县 Wuyuan
>>弋阳县 Yiyang
>>余干县 Yugan
>>玉山县 Yushan

>景德镇市 Jingdezhen
>>Jingdezhen Jingdezhen
>>乐平市 Leping

>南昌市 Nanchang
>>安义县 Anyi
>>进贤县 Jinxian
>>南昌区 Nanchang Qū
>>南昌县 Nanchang Xiàn
>>新干县 Xingan
>>新建县 Xinjian

>抚州市 Fuzhou
>>崇仁县 Chongren
>>东乡县 Dongxiang
>>广昌县 Guangchang
>>金溪县 Jinxi
>>乐安县 Le'an
>>黎川县 Lichuan
>>临川区 Linchuan
>>南城县 Nancheng
>>南丰县 Nanfeng
>>宜黄县 Yihuang
>>资溪县 Zixi

>赣州市 Ganzhou
>>安远县 Anyuan
>>崇义县 Chongyi
>>大余县 Dayu
>>定南县 Dingnan
>>赣县 Gan
>>Ganzhou Ganzhou
>>会昌县 Huichang
>>龙南县 Longnan
>>南康市 Nankang
>>宁都县 Ningdu
>>Quannan Quannan
>>瑞金市 Ruijin
>>上犹县 Shangyou
>>石城县 Shicheng
>>信丰县 Xinfeng
>>兴国县 Xingguo
>>寻乌县 Xunwu
>>于都县 Yudu

>新余市 Xinyu
>>分宜县 Fenyi
>>Xinyu Xinyu


17 Jilin
>长春市 Changchun
>>长春市 Changchun
>>德惠市 Dehui
>>九台市 Jiutai
>>农安县 Nong'an
>>双阳区 Shuangyang
>>榆树市 Yushu

>白山市 Baishan
>>八道江区 Badaojiang
>>长白朝鲜族自治县 Changbai Korean
>>抚松县 Fusong
>>江源区 Jiangyuan
>>靖宇县 Jingyu
>>临江市 Linjiang

>松原市 Songyuan
>>长岭县 Changling
>>扶余县 Fuyu
>>乾安县 Qian'an
>>前郭尔罗斯蒙古族自治县 Qian Gorlos Mongol

>四平市 Siping
>>Huaide Huaide
>>梨树县 Lishu
>>双辽市 Shuangliao
>>Siping Siping
>>伊通满族自治县 Yitong Manchu

>延边朝鲜族自治州 Yanbian Korean
>>安图县 Antu
>>敦化市 Dunhua
>>和龙市 Helong
>>珲春市 Hunchun
>>龙井市 Longjing
>>图们市 Tumen
>>汪清县 Wangqing
>>延吉市 Yanji

>白城市 Baicheng
>>Baicheng Baicheng
>>大安市 Da'an
>>洮南市 Taonan
>>通榆县 Tongyu
>>镇赉县 Zhenlai

>通化市 Tonghua
>>东昌区 Dongchang
>>二道江区 Erdaojiang
>>辉南县 Huinan
>>集安市 Ji'an
>>柳河县 Liuhe
>>梅河口市 Meihekou
>>通化县 Tonghua

>吉林市 Jilin
>>桦甸市 Huadian
>>蛟河市 Jiaohe
>>吉林市 Jilin
>>磐石市 Panshi
>>舒兰市 Shulan
>>永吉县 Yongji

>辽源市 Liaoyuan
>>东风县 Dongfeng
>>东辽县 Dongliao
>>Liaoyuan Liaoyuan


18 Liaoning
>本溪市 Benxi
>>本溪满族自治县 Benxi Manchu
>>Benxi Benxi
>>桓仁满族自治县 Huanren Manchu

>鞍山市 Anshan
>>Anshan Anshan
>>海城市 Haicheng
>>台安县 Tai'an
>>岫岩满族自治县 Xiuyan Manchu

>大连市 Dalian
>>长海县 Changhai
>>Dalian Dalian
>>金州区 Jinzhou
>>旅顺口区 Lushunkou
>>瓦房店市 Wafangdian
>>Xinjin Xinjin
>>庄河市 Zhuanghe

>沈阳市 Shenyang
>>法库县 Faku
>>康平县 Kangping
>>辽中县 Liaozhong
>>沈阳市 Shenyang Shì
>>沈阳县 Shenyang Xiàn
>>新民市 Xinmin

>辽阳市 Liaoyang
>>灯塔市 Dengta
>>辽阳区 Liaoyang

>朝阳市 Chaoyang
>>北票市 Beipiao
>>朝阳市 Chaoyang Shì
>>朝阳县 Chaoyang Xiàn
>>喀喇沁左翼蒙古族自治县 Harqin Left Mongol
>>建平县 Jianping
>>凌源市 Lingyuan

>抚顺市 Fushun
>>抚顺县 Fushun
>>清原满族自治县 Qingyuan Manchu
>>顺城区 Shuncheng
>>新宾满族自治县 Xinbin Manchu

>丹东市 Dandong
>>大东区 Dadong
>>东港市 Donggang
>>凤城市 Fengcheng
>>宽甸满族自治县 Kuandian Manchu

>锦州市 Jinzhou
>>北镇市 Beizhen
>>黑山县 Heishan
>>Jin Jin
>>金州区 Jinzhou
>>义县 Yi

>阜新市 Fuxin
>>阜新蒙古族自治县 Fuxin Mongol
>>Fuxin Fuxin
>>彰武县 Zhangwu

>葫芦岛市 Huludao
>>建昌县 Jianchang
>>Jinxi Jinxi
>>绥中县 Suizhong
>>兴城市 Xingcheng

>铁岭市 Tieling
>>昌图县 Changtu
>>Gai Gai
>>开原市 Kaiyuan
>>Tiefa Tiefa
>>铁岭市 Tieling Shì
>>铁岭县 Tieling Xiàn
>>西丰县 Xifeng
>>Yingkou Yingkou
>>银州区 Yinzhou

>盘锦市 Panjin
>>大洼县 Dawa
>>盘锦市 Panjin
>>盘山县 Panshan


19 Nei Mongol
>通辽市 Tongliao
>>科尔沁左翼后旗 Horqin Left Back
>>科尔沁左翼中旗 Horqin Left Middle
>>霍林郭勒市 Huolin Gol
>>库伦旗 Hure
>>扎鲁特旗 Jarud
>>开鲁县 Kailu
>>奈曼旗 Naiman
>>Tongliao Tongliao

>锡林郭勒盟 Xilin Gol
>>Abagnar Qi Abagnar Qi
>>阿巴嘎旗 Abag
>>镶黄旗 Bordered Yellow
>>Dong Ujimqin Dong Ujimqin
>>多伦县 Duolun
>>二连浩特市 Erenhot
>>正镶白旗 Plain and Bordered White
>>正蓝旗 Plain Blue
>>苏尼特左旗 Sonid Left
>>苏尼特右旗 Sonid Right
>>太仆寺旗 Taibus
>>西乌珠穆沁旗 West Ujimqin

>阿拉善盟 Alxa
>>阿拉善左旗 Alxa Left
>>阿拉善右旗 Alxa Right
>>额济纳旗 Ejin

>呼和浩特市 Hohhot
>>Hohhot Hohhot
>>和林格尔县 Horinger
>>清水河县 Qingshuihe
>>托克托县 Togtoh
>>土默特左旗 Tumd Left
>>土默特右旗 Tumd Right
>>武川县 Wuchuan

>乌兰察布市 Ulaan Chab
>>丰镇市 Fengzhen
>>化德县 Huade
>>集宁区 Jining
>>凉城县 Liangcheng
>>Qahar Youyi Houqi Qahar Youyi Houqi
>>Qahar Youyi Qianqi Qahar Youyi Qianqi
>>Qahar Youyi Zhongqi Qahar Youyi Zhongqi
>>商都县 Shangdu
>>四子王旗 Siziwang
>>兴和县 Xinghe
>>卓资县 Zhuozi

>乌海市 Wuhai
>>Wuhai Wuhai

>赤峰市 Chifeng
>>敖汉旗 Aohan
>>阿鲁科尔沁旗 Ar Horqin
>>巴林左旗 Bairin Left
>>巴林右旗 Bairin Right
>>Chifeng Chifeng
>>喀喇沁旗 Harqin
>>克什克腾旗 Hexigten
>>林西县 Linxi
>>宁城县 Ningcheng
>>翁牛特旗 Ongniud

>巴彦淖尔市 Baynnur
>>磴口县 Dengkou
>>海勃湾区 Haibowan
>>临河区 Linhe
>>乌拉特后旗 Urad Back
>>乌拉特前旗 Urad Front
>>乌拉特中旗 Urad Middle
>>五原县 Wuyuan

>呼伦贝尔市 Hulunbuir
>>阿荣旗 Arun
>>Butha Qi Butha Qi
>>Chenbarag Qi Chenbarag Qi
>>额尔古纳市 Ergun
>>鄂温克族自治旗 Evenk
>>根河市 Genhe
>>海拉尔区 Hailar
>>满洲里市 Manzhouli
>>莫利达瓦达斡尔族自治旗 Morin Dawa Daur
>>鄂伦春自治旗 Oroqin
>>Xinbarag Left Xinbarag Left
>>Xinbarag Right Xinbarag Right
>>Xuguit Qi Xuguit Qi

>包头市 Baotou
>>Baotou Baotou
>>达尔罕茂明安 Darhan Muminggan Lia
>>固阳县 Guyang

>鄂尔多斯市 Ordos
>>达拉特旗 Dalad
>>东胜区 Dongsheng
>>伊金霍洛旗 Ejin Horo
>>杭锦旗 Hanggin
>>准格尔旗 Jungar
>>鄂托克前旗 Otog Front
>>鄂托克旗 Otog
>>乌审旗 Uxin

>兴安盟 Xing'an
>>科尔沁右翼前旗 Horqin Right Front
>>科尔沁右翼中旗 Horqin Right Middle
>>扎赉特旗 Jalaid
>>突泉县 Tuquan
>>乌兰浩特市 Ulan Hot


20 Ningxia Hui
>石嘴山市 Shizuishan
>>惠农区 Huinong
>>平罗县 Pingluo
>>石嘴山区 Shizuishan Qū
>>石嘴山市 Shizuishan Shì
>>Taole Taole

>固原市 Guyuan
>>Guyuan Guyuan
>>泾源县 Jingyuan
>>隆德县 Longde
>>彭阳县 Pengyang
>>西吉县 Xiji

>中卫市 Zhongwei
>>海原县 Haiyuan
>>中宁县 Zhongning
>>Zhongwei Zhongwei

>吴忠市 Wuzhong
>>青铜峡市 Qingtongxia
>>同心县 Tongxin
>>Wuzhong Wuzhong
>>盐池县 Yanchi

>银川市 Yinchuan
>>贺兰县 Helan
>>灵武市 Lingwu
>>Yinchuan Yinchuan
>>永宁县 Yongning


21 Qinghai
>海西蒙古族藏族自治州 Haixi Mongol and Tibetan
>>德令哈市 Delingha
>>都兰县 Dulan
>>格尔木市 Golmud
>>冷湖行政委员会 Lenghu
>>天峻县 Tianjun
>>乌兰县 Wulan

>玉树藏族自治州 Gyêgu Tibetan
>>称多县 Chindu
>>格尔木市 Golmud
>>囊谦县 Nangqên
>>曲麻莱县 Qumarleb
>>Yushu Yushu
>>杂多县 Zadoi
>>治多县 Zhidoi

>海东地区 Haidong
>>化隆回族自治县 Hualong Hui
>>互助土族自治县 Huzhu Tu
>>乐都县 Ledu
>>民和回族|土族自治县 Minhe Hui and Tu
>>平安县 Ping'an
>>循化撒拉族自治县 Xunhua Salar

>海北藏族自治州 Haibei Tibetan
>>刚察县 Gangca
>>海晏县 Haiyan
>>门源回族自治县 Menyuan Hui
>>祁连县 Qilian

>西宁市 Xining
>>大通回族|土族自治县 Datong Hui and Tu
>>湟源县 Huangyuan
>>湟中县 Huangzhong
>>Xining Xining

>果洛藏族自治州 Golog Tibetan
>>班玛县 Baima
>>达日县 Darlag
>>甘德县 Gadê
>>久治县 Jigzhi
>>玛多县 Madoi
>>玛沁县 Maqên

>海南藏族自治州 Hainan Tibetan
>>共和县 Gonghe
>>贵德县 Guide
>>贵南县 Guinan
>>同德县 Tongde
>>兴海县 Xinghai

>黄南藏族自治州 Huangnan Tibetan
>>河南蒙古族自治县 Henan Mongol
>>尖扎县 Jainca
>>同仁县 Tongren
>>泽库县 Zêkog


22 Shaanxi
>汉中市 Hanzhong
>>城固县 Chenggu
>>佛坪县 Foping
>>Hanzhong Hanzhong
>>留坝县 Liuba
>>略阳县 Lueyang
>>勉县 Mian
>>南郑县 Nanzheng
>>宁强县 Ningqiang
>>西乡县 Xixiang
>>洋县 Yang
>>镇巴县 Zhenba

>铜川市 Tongchuan
>>Tongchuan Tongchuan
>>宜君县 Yijun

>咸阳市 Xianyang
>>彬县 Bin
>>长武县 Changwu
>>淳化县 Chunhua
>>泾阳县 Jingyang
>>礼泉县 Liquan
>>乾县 Qian
>>三原县 Sanyuan
>>Wugong Wugong
>>Xianyang Xianyang
>>兴平市 Xingping
>>旬邑县 Xunyi
>>杨陵区 Yangling
>>永寿县 Yongshou

>西安市 Xi'an
>>长安区 Chang'an
>>高陵县 Gaoling
>>户县 Hu
>>蓝田县 Lantian
>>临潼区 Lintong
>>新城区 Xincheng
>>周至县 Zhouzhi

>渭南市 Weinan
>>白水县 Baishui
>>陈仓区 Chencang
>>大荔县 Dali
>>富平县 Fuping
>>韩城市 Hancheng
>>合阳县 Heyang
>>华县 Hua
>>华阴市 Huayin
>>蒲城县 Pucheng
>>Tongguan Tongguan
>>Weinan Weinan

>榆林市 Yulin
>>定边县 Dingbian
>>府谷县 Fugu
>>横山县 Hengshan
>>佳县 Jia
>>靖边县 Jingbian
>>米脂县 Mizhi
>>清涧县 Qingjian
>>神木县 Shenmu
>>绥德县 Suide
>>Wubu Wubu
>>Yulin Yulin
>>子洲县 Zizhou

>宝鸡市 Baoji
>>宝鸡区 Baoji Qū
>>宝鸡县 Baoji Xiàn
>>凤县 Feng
>>凤翔县 Fengxiang
>>扶风县 Fufeng
>>麟游县 Linyou
>>陇县 Long
>>眉县 Mei
>>千阳县 Qianyang
>>岐山县 Qishan
>>太白县 Taibai

>商洛市 Shangluo
>>丹凤县 Danfeng
>>洛南县 Luonan
>>商南县 Shangnan
>>Shang Shang
>>山阳县 Shanyang
>>柞水县 Zhashui
>>镇安县 Zhen'an

>延安市 Yan'an
>>安塞县 Ansai
>>富县 Fu
>>甘泉县 Ganquan
>>黄陵县 Huangling
>>黄龙县 Huanglong
>>洛川县 Luochuan
>>吴起县 Wuqi
>>Yan An Yan An
>>延长县 Yanchang
>>延川县 Yanchuan
>>宜川县 Yichuan
>>志丹县 Zhidan
>>子长县 Zichang

>安康市 Ankang
>>Ankang Ankang
>>白河县 Baihe
>>汉阴县 Hanyin
>>岚皋县 Langao
>>宁陕县 Ningshan
>>平利县 Pingli
>>石泉县 Shiquan
>>旬阳县 Xunyang
>>镇坪县 Zhenping
>>紫阳县 Ziyang


23 Shandong
>淄博市 Zibo
>>高青县 Gaoqing
>>桓台县 Huantai
>>沂源县 Yiyuan
>>Zibo Zibo
>>淄川区 Zichuan

>菏泽市 Heze
>>曹县 Cao
>>成武县 Chengwu
>>定陶县 Dingtao
>>东明县 Dongming
>>Heze Heze
>>Juancheng Juancheng
>>巨野县 Juye
>>单县 Shan
>>禹城市 Yucheng

>潍坊市 Weifang
>>安丘市 Anqiu
>>昌乐县 Changle
>>昌邑市 Changyi
>>高密市 Gaomi
>>临朐县 Linqu
>>青州市 Qingzhou
>>寿光市 Shouguang
>>潍坊市 Weifang Shì
>>潍坊市 Weifang Xiàn
>>诸城市 Zhucheng

>烟台市 Yantai
>>长岛县 Changdao
>>Fushan Fushan
>>海阳市 Haiyang
>>莱阳市 Laiyang
>>莱州市 Laizhou
>>龙口市 Longkou
>>牟平区 Muping
>>蓬莱市 Penglai
>>栖霞市 Qixia
>>Yantai Yantai
>>招远市 Zhaoyuan

>枣庄市 Zaozhuang
>>Teng Teng
>>Zhaozhuang Zhaozhuang
>>Zouxian Zouxian

>青岛市 Qingdao
>>黄岛区 Huangdao
>>胶南市 Jiaonan
>>Jiaoxian Jiaoxian
>>即墨市 Jimo
>>莱西市 Laixi
>>崂山区 Laoshan
>>平度市 Pingdu

>东营市 Dongying
>>东营区 Dongying
>>广饶县 Guangrao
>>河口区 Hekou
>>垦利县 Kenli
>>利津县 Lijin

>威海市 Weihai
>>任城区 Rencheng
>>乳山市 Rushan
>>Weihai Weihai
>>Wendeng Wendeng

>滨州 Binzhou
>>Binxian Binxian
>>博兴县 Boxing
>>惠民县 Huimin
>>无棣县 Wudi
>>阳信县 Yangxin
>>沾化县 Zhanhua
>>邹平县 Zouping

>济宁市 Jining
>>嘉祥县 Jiaxiang
>>Jining Jining
>>金乡县 Jinxiang
>>梁山县 Liangshan
>>曲阜市 Qufu
>>泗水县 Sishui
>>Weishan Weishan
>>汶上县 Wenshang
>>兖州市 Yanzhou
>>鱼台县 Yutai

>聊城市 Liaocheng
>>Chiping Chiping
>>东阿县 Dong'e
>>高唐县 Gaotang
>>冠县 Guan
>>Liaocheng Liaocheng
>>临清市 Linqing
>>Shenxian Shenxian
>>阳谷县 Yanggu

>泰安市 Tai'an
>>东平县 Dongping
>>肥城市 Feicheng
>>宁阳县 Ningyang
>>Tai An Tai An
>>Xinwen Xinwen

>临沂市 Linyi
>>苍山县 Cangshan
>>Feixian Feixian
>>莒南县 Junan
>>临沭县 Linshu
>>临邑县 Linyi
>>蒙阴县 Mengyin
>>平邑县 Pingyi
>>Tancheng Tancheng
>>沂南县 Yinan
>>沂水县 Yishui

>日照市 Rizhao
>>Juxian Juxian
>>Rizhao Rizhao
>>五莲县 Wulian

>德州市 Dezhou
>>Dezhou Dezhou
>>乐陵市 Leling
>>陵县 Ling
>>临邑县 Linyi
>>宁津县 Ningjin
>>平原县 Pingyuan
>>齐河县 Qihe
>>庆云县 Qingyun
>>武城县 Wucheng
>>夏津县 Xiajin
>>郓城县 Yuncheng

>莱芜市 Laiwu
>>莱芜市 Laiwu

>济南市 Jinan
>>长清区 Changqing
>>济南区 Jinan
>>济阳县 Jiyang
>>平阴县 Pingyin
>>商河县 Shanghe
>>章丘市 Zhangqiu


24 Shanghai
>上海 Shanghai
>>宝山区 Baoshan
>>崇明县 Chongming
>>奉贤区 Fengxian
>>嘉定区 Jiading
>>金山区 Jinshan
>>闵行区 Minhang
>>南汇区 Nanhui
>>浦东新区 Pudong
>>青浦区 Qingpu
>>上海市区 Shanghai
>>嵊泗县 Shengsi
>>松江区 Songjiang


25 Shanxi
>大同市 Datong
>>大同市 Datong Shì
